,Bill Number,Title,Link,Description,Last Action,Governor Signed,Sponsors,Subjects,Session,Types,Last Action Date
79,HB16-1080,Assault By Strangulation,/bills/hb16-1080,"Concerning assault by strangulation, and, in connection therewith, making an appropriation.",Last Action:06/10/2016 | Governor Signed,1,"Rep. M. Foote, Rep. L. Landgraf, Sen. J. Cooke, Sen. M. Johnston","Crimes, Corrections, & Enforcement",2016 Regular Session,Type:Bill,2016-06-10
80,HB16-1081,Obsolete Reporting Department of Health Care Policy And Financing,/bills/hb16-1081,Concerning removing obsolete reporting provisions in title 25.5 of the Colorado Revised Statutes.,Last Action:03/18/2016 | Governor Signed,1,"Rep. K. Ransom, Rep. D. Esgar, Sen. K. Lundberg, Sen. L. Newell",Health Care & Health Insurance,2016 Regular Session,Type:Bill,2016-03-18
81,HB16-1082,Change Name Area Vocational Schools,/bills/hb16-1082,"Concerning area vocational schools, and, in connection therewith, changing the name of area vocational schools to area technical colleges and adding representation for area technical colleges to certain boards.",Last Action:03/31/2016 | Governor Signed,1,"Rep. A. Garnett, Rep. Y. Willett, Sen. N. Todd",Higher Education,2016 Regular Session,Type:Bill,2016-03-31
82,HB16-1083,Western State Colorado University Role And Mission,/bills/hb16-1083,Concerning the role and mission of Western state Colorado university.,Last Action:04/1/2016 | Governor Signed,1,"Rep. J. Brown, Rep. M. Hamner, Sen. K. Donovan, Sen. K. Grantham",Higher Education,2016 Regular Session,Type:Bill,2016-04-01
83,HB16-1084,Home Brewing By Adult For Personal Use,/bills/hb16-1084,"Concerning a modification to the exemption from the ""Colorado Liquor Code"" for home brewers to permit an adult other than the head of a family to engage in home brewing activities for personal use without obtaining a liquor license.",Last Action:03/18/2016 | Governor Signed,1,"Rep. S. Lebsock, Sen. C. Holbert","Liquor, Tobacco, & Marijuana",2016 Regular Session,Type:Bill,2016-03-18
84,HB16-1085,Simplified Name Change After Divorce,/bills/hb16-1085,Concerning simplifying the process for returning to a prior name after a decree of dissolution or legal separation has been entered.,Last Action:03/31/2016 | Governor Signed,1,"Rep. D. Thurlow, Sen. J. Tate",Children & Domestic Matters,2016 Regular Session,Type:Bill,2016-03-31
85,HB16-1086,Performance Audit Of DPA Department of Personnel & State Personnel Board,/bills/hb16-1086,Concerning a modification of the dates on which the required performance audits of certain governmental entities are due.,Last Action:03/18/2016 | Governor Signed,1,"Rep. S. Ryden, Rep. D. Nordberg, Sen. C. Holbert",State Government,2016 Regular Session,Type:Bill,2016-03-18
86,HB16-1087,Increase Vendor Fee For Collecting State Sales Tax,/bills/hb16-1087,Concerning an increase in the amount of sales tax revenue that may be retained by a retailer to cover the retailer's expense in collecting and remitting the tax.,Last Action:03/16/2016 | House Committee on Finance Postpone Indefinitely,0,Rep. J. Becker,Fiscal Policy & Taxes,2016 Regular Session,Type:Bill,2016-03-16
87,HB16-1088,Fire Protection District Impact Fee On New Development,/bills/hb16-1088,"Concerning the authorization for a fire protection district to impose an impact fee on new development, and, in connection therewith, enacting the ""Public Safety Fairness Act"".",Last Action:06/8/2016 | Governor Signed,1,"Rep. T. Dore, Sen. E. Roberts",Local Government,2016 Regular Session,Type:Bill,2016-06-08
88,HB16-1089,Endowment Or Institutional Fund Gift Tax Credit,/bills/hb16-1089,Concerning an income tax credit for charitable contributions to an eligible endowment or institutional fund.,Last Action:05/5/2016 | House Committee on Appropriations Postpone Indefinitely,0,"Rep. D. Moreno, Sen. C. Holbert",Fiscal Policy & Taxes,2016 Regular Session,Type:Bill,2016-05-05
89,HB16-1090,Excess Foreclosure Proceeds Limit Finder's Fees,/bills/hb16-1090,Concerning the conditions under which a person may assist another for compensation in obtaining the proceeds of a foreclosure sale after all liens have been satisfied.,Last Action:04/15/2016 | Governor Signed,1,"Rep. E. McCann, Sen. C. Jahn","Civil LawCourts & JudicialCrimes, Corrections, & EnforcementHousingState Government",2016 Regular Session,Type:Bill,2016-04-15
90,HB16-1091,Change Due Dates For Electric Utility Transmission Plans,/bills/hb16-1091,"Concerning a change to the biennial filing date for rate-regulated electric utilities to submit their plans for transmission facilities to the public utilities commission, and, in connection therewith, deleting the requirement that the commission issue a final order within one hundred eighty days after an application for the construction or expansion of transmission facilities is filed.",Last Action:03/23/2016 | Governor Signed,1,"Rep. D. Thurlow, Rep. D. Mitsch Bush, Sen. J. Sonnenberg",Business & Economic DevelopmentEnergy,2016 Regular Session,Type:Bill,2016-03-23
91,HB16-1092,Authorize Retail Marijuana Special Event Permit,/bills/hb16-1092,Concerning the authorization of a retail marijuana special event permit.,Last Action:02/16/2016 | House Committee on Public Health Care & Human Services Postpone Indefinitely,0,"Rep. D. Moreno, Sen. V. Marble","Liquor, Tobacco, & Marijuana",2016 Regular Session,Type:Bill,2016-02-16
92,HB16-1093,Election List Maintenance Procedures,/bills/hb16-1093,"Concerning the use of the national change of address database to maintain voter registration records, and, in connection therewith, clarifying terminology and consolidating procedures for county clerks and recorders to follow when it appears that an elector has moved within the state.",Last Action:04/21/2016 | Governor Signed,1,"Rep. K. Ransom, Rep. S. Ryden, Sen. J. Tate",Elections & Redistricting,2016 Regular Session,Type:Bill,2016-04-21
93,HB16-1094,Make References To Attorney General Gender Neutral,/bills/hb16-1094,Concerning making references to the attorney general in the Colorado Revised Statutes gender neutral.,Last Action:04/14/2016 | Governor Signed,1,"Rep. T. Dore, Sen. E. Roberts",State Government,2016 Regular Session,Type:Bill,2016-04-14
94,HB16-1095,Health Insurance For Prescription Eye Drop Refills,/bills/hb16-1095,Concerning health insurance coverage for early refills of prescription eye drops.,Last Action:03/9/2016 | Governor Signed,1,"Rep. E. McCann, Sen. L. Crowder",Health Care & Health Insurance,2016 Regular Session,Type:Bill,2016-03-09
95,HB16-1096,Foreclosure Overbid Amount Return To Homeowner,/bills/hb16-1096,Concerning the eligibility of junior lienors to receive foreclosure overbid funds.,Last Action:03/3/2016 | House Committee on Business Affairs and Labor Postpone Indefinitely,0,"Rep. A. Williams, Sen. J. Tate",Civil LawCourts & JudicialHousing,2016 Regular Session,Type:Bill,2016-03-03
96,HB16-1097,Public Utilities Commission Permit For Medicaid Transportation Providers,/bills/hb16-1097,"Concerning regulation of medicaid nonemergency transportation providers, and, in connection therewith, making and reducing an appropriation.",Last Action:05/20/2016 | Governor Signed,1,"Rep. D. Coram, Rep. D. Moreno, Sen. R. Scott",Health Care & Health Insurance,2016 Regular Session,Type:Bill,2016-05-20
97,HB16-1098,School Discipline Reporting Requirements,/bills/hb16-1098,Concerning updates to provisions related to school discipline reporting.,Last Action:04/15/2016 | Governor Signed,1,"Rep. P. Lawrence, Sen. L. Newell",Education & School Finance (Pre & K-12),2016 Regular Session,Type:Bill,2016-04-15
98,HB16-1099,Repeal Of Mutual Consent Teacher Assignment Requirement,/bills/hb16-1099,Concerning the repeal of the requirement for mutual consent assignments of nonprobationary teachers.,Last Action:04/18/2016 | House Committee on Education Postpone Indefinitely,0,Rep. J. Salazar,Education & School Finance (Pre & K-12),2016 Regular Session,Type:Bill,2016-04-18
99,HB16-1100,Define Tuition Status Unaccompanied Homeless Youth,/bills/hb16-1100,Concerning the ability of unaccompanied homeless youth to determine domicile for purposes of in-state tuition status at institutions of higher education.,Last Action:05/17/2016 | Governor Signed,1,"Rep. B. Pettersen, Rep. D. Esgar, Sen. J. Cooke",Higher Education,2016 Regular Session,Type:Bill,2016-05-17
100,HB16-1101,Medical Decisions For Unrepresented Patients,/bills/hb16-1101,Concerning medical decisions for unrepresented patients.,Last Action:05/18/2016 | Governor Signed,1,"Rep. D. Young, Sen. K. Lundberg",Civil LawHealth Care & Health Insurance,2016 Regular Session,Type:Bill,2016-05-18
101,HB16-1102,Drug Production Costs Transparency Requirements,/bills/hb16-1102,Concerning a requirement that drug manufacturers report production costs for certain high-cost prescription drugs.,"Last Action:03/10/2016 | House Committee on Health, Insurance, & Environment Postpone Indefinitely",0,"Rep. J. Ginal, Sen. L. Newell, Sen. E. Roberts",Health Care & Health Insurance,2016 Regular Session,Type:Bill,2016-03-10
102,HB16-1103,License Pathways For Mental Health Workforce,/bills/hb16-1103,Concerning clarifying license pathways for the mental health professional workforce.,Last Action:04/15/2016 | Governor Signed,1,"Rep. T. Kraft-Tharp, Rep. L. Landgraf, Sen. B. Martinez Humenik, Sen. N. Todd",Health Care & Health Insurance,2016 Regular Session,Type:Bill,2016-04-15
103,HB16-1104,Summons In Lieu Of Warrant For Non-violent Crimes,/bills/hb16-1104,Concerning the issuance of a summons in lieu of a warrant for certain non-violent offenders.,Last Action:04/21/2016 | Governor Signed,1,"Rep. C. Roupe, Sen. J. Cooke","Courts & JudicialCrimes, Corrections, & Enforcement",2016 Regular Session,Type:Bill,2016-04-21
104,HB16-1105,Reestablish Make-a-wish Foundation Tax Check-off,/bills/hb16-1105,Concerning reestablishment of the voluntary contribution designation benefiting the Make-A-Wish Foundation of Colorado fund that appears on the state individual income tax return forms.,Last Action:04/7/2016 | House Committee on Finance Postpone Indefinitely,0,"Rep. J. Wilson, Sen. R. Baumgardner",Fiscal Policy & Taxes,2016 Regular Session,Type:Bill,2016-04-07
105,HB16-1106,County Authority To Designate Pioneer Trail,/bills/hb16-1106,Concerning the authority of a county to designate public roads as a section of a pioneer trail.,Last Action:04/15/2016 | Governor Signed,1,"Rep. J. Wilson, Sen. K. Grantham, Sen. L. Garcia",Local GovernmentTransportation & Motor Vehicles,2016 Regular Session,Type:Bill,2016-04-15
106,HB16-1107,DORA Administrative Complaint Time Frames,/bills/hb16-1107,Concerning time frames for disciplinary proceedings within the department of regulatory agencies.,"Last Action:02/22/2016 | House Committee on State, Veterans, & Military Affairs Postpone Indefinitely",0,Rep. J. Joshi,Business & Economic DevelopmentCivil LawState Government,2016 Regular Session,Type:Bill,2016-02-22
107,HB16-1108,Residential Real Estate Disclose Large Plant Grow,/bills/hb16-1108,Concerning the obligation of the seller of residential real property to disclose the prior use of the property for indoor horticultural operations.,Last Action:02/4/2016 | House Committee on Business Affairs and Labor Postpone Indefinitely,0,Rep. K. Conti,"Civil LawHousingLiquor, Tobacco, & MarijuanaPublic Health",2016 Regular Session,Type:Bill,2016-02-04
108,HB16-1109,Application Of State Water Law To Federal Agencies,/bills/hb16-1109,Concerning limits that the basic tenets of Colorado water law place on the ability of certain federal agencies to impose conditions on a water right owner in exchange for permission to use federal land.,Last Action:04/21/2016 | Governor Signed,1,"Rep. J. Becker, Rep. K. Becker, Sen. J. Sonnenberg, Sen. K. Donovan",Water,2016 Regular Session,Type:Bill,2016-04-21
109,HB16-1110,Parent's Bill Of Rights,/bills/hb16-1110,Concerning a parent's bill of rights.,"Last Action:03/28/2016 | House Committee on State, Veterans, & Military Affairs Postpone Indefinitely",0,"Rep. P. Neville, Sen. T. Neville",Children & Domestic Matters,2016 Regular Session,Type:Bill,2016-03-28
110,HB16-1111,Same Day Voter Registration With Photo ID Identification,/bills/hb16-1111,Concerning a requirement that voters registering to vote immediately prior to or on election day provide a form of identification that shows a photograph of the voter.,"Last Action:03/2/2016 | House Committee on State, Veterans, & Military Affairs Postpone Indefinitely",0,Rep. D. Coram,Elections & Redistricting,2016 Regular Session,Type:Bill,2016-03-02
111,HB16-1112,Training Veterans To Train Service Dogs Pilot Program,/bills/hb16-1112,"Concerning the creation of the training veterans to train their own service dogs pilot program, and, in connection therewith, making an appropriation.",Last Action:06/10/2016 | Governor Signed,1,"Rep. L. Landgraf, Sen. L. Crowder",Health Care & Health InsuranceMilitary & Veterans,2016 Regular Session,Type:Bill,2016-06-10
112,HB16-1113,Protect Human Life At Conception,/bills/hb16-1113,Concerning the protection of human life beginning at conception.,"Last Action:02/11/2016 | House Committee on Health, Insurance, & Environment Postpone Indefinitely",0,"Rep. S. Humphrey, Sen. K. Lundberg","Crimes, Corrections, & Enforcement",2016 Regular Session,Type:Bill,2016-02-11
113,HB16-1114,Repeal Duplicate Reporting Requirements,/bills/hb16-1114,Concerning the repeal of duplicate reporting requirements.,Last Action:06/8/2016 | Governor Signed,1,"Rep. B. DelGrosso, Sen. J. Ulibarri",Labor & Employment,2016 Regular Session,Type:Bill,2016-06-08
114,HB16-1115,No Record Sealing Municipal Domestic Violence,/bills/hb16-1115,Concerning the prohibition of sealing municipal domestic violence convictions.,"Last Action:02/8/2016 | House Committee on State, Veterans, & Military Affairs Postpone Indefinitely",0,Rep. K. Van Winkle,Courts & Judicial,2016 Regular Session,Type:Bill,2016-02-08
115,HB16-1116,Public Forum On Micro-credentialing,/bills/hb16-1116,Concerning a public forum to discuss a model for micro-credentialing.,Last Action:03/28/2016 | House Committee on Education Postpone Indefinitely,0,Rep. R. Fields,Education & School Finance (Pre & K-12)Higher Education,2016 Regular Session,Type:Bill,2016-03-28
